Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins
1.223,0.103,1.326
1.223,0.103,1.326
2.874,0.134,3.007
2.874,0.134,3.007
2.874,0.134,3.007
2.874,0.134,3.007
2.874,0.134,3.007
2.874,0.134,3.007
0.511,0.077,0.588
0.511,0.077,0.588
0.419,0.081,0.5
0.419,0.081,0.5
0.419,0.081,0.5
0.419,0.081,0.5
0.419,0.081,0.5
0.419,0.081,0.5
0.419,0.081,0.5
0.419,0.081,0.5
0.419,0.081,0.5
0.934,0.108,1.043
0.934,0.108,1.043
0.934,0.108,1.043
0.934,0.108,1.043
1.32,0.111,1.431
1.32,0.111,1.431
1.32,0.111,1.431
1.32,0.111,1.431
1.32,0.111,1.431
1.32,0.111,1.431
1.32,0.111,1.431
3.227,0.071,3.298
3.227,0.071,3.298
2.502,0.076,2.578
3.227,0.071,3.298
1.297,0.079,1.375
1.101,0.07,1.171
1.101,0.07,1.171
1.101,0.07,1.171
1.101,0.07,1.171
1.101,0.07,1.171
1.297,0.079,1.375
1.297,0.079,1.375
1.297,0.079,1.375
1.297,0.079,1.375
1.297,0.079,1.375
1.297,0.079,1.375
1.297,0.079,1.375
1.297,0.079,1.375
1.297,0.079,1.375
0.233,0.068,0.301
0.233,0.068,0.301
0.233,0.068,0.301
0.209,0.058,0.267
0.209,0.058,0.267
0.209,0.058,0.267
0.209,0.058,0.267
0.591,0.0,0.591
0.591,0.0,0.591
0.591,0.0,0.591
0.591,0.0,0.591
0.591,0.0,0.591
0.591,0.0,0.591
0.591,0.0,0.591
0.591,0.0,0.591
0.772,0.058,0.83
0.772,0.058,0.83
1.746,0.27,2.016
1.746,0.27,2.016
1.746,0.27,2.016
1.112,0.121,1.233
1.112,0.121,1.233
1.112,0.121,1.233
1.082,0.084,1.165
1.112,0.121,1.233
1.112,0.121,1.233
0.214,0.108,0.323
0.214,0.108,0.323
0.214,0.108,0.323
0.214,0.108,0.323
0.485,0.207,0.692
0.485,0.207,0.692
0.485,0.207,0.692
0.485,0.207,0.692
0.485,0.207,0.692
0.485,0.207,0.692
0.485,0.207,0.692
0.485,0.207,0.692
0.519,0.0,0.519
0.51,0.0,0.51
0.51,0.0,0.51
0.51,0.0,0.51
0.51,0.0,0.51
0.627,0.0,0.627
0.652,0.0,0.652
0.652,0.0,0.652
0.652,0.0,0.652
0.166,0.0,0.166
0.116,0.0,0.116
0.195,0.0,0.195
0.277,0.0,0.277
0.31,0.0,0.31
0.256,0.0,0.256
0.354,0.0,0.354
0.354,0.0,0.354
0.354,0.0,0.354
0.239,0.0,0.239
0.297,0.0,0.297
0.27,0.0,0.27
0.245,0.0,0.245
0.245,0.0,0.245
0.245,0.0,0.245
0.245,0.0,0.245
0.245,0.0,0.245
0.245,0.0,0.245
0.245,0.0,0.245
0.245,0.0,0.245
0.245,0.0,0.245
0.245,0.0,0.245
0.245,0.0,0.245
0.245,0.0,0.245
0.245,0.0,0.245
0.245,0.0,0.245
0.245,0.0,0.245
0.245,0.0,0.245
0.245,0.0,0.245
0.245,0.0,0.245
0.245,0.0,0.245
0.417,0.061,0.478
0.748,0.061,0.809
1.381,0.067,1.448
1.381,0.067,1.448
1.381,0.067,1.448
1.57,0.068,1.637
1.023,0.067,1.09
0.713,0.043,0.756
0.422,0.063,0.485
0.485,0.057,0.543
0.485,0.057,0.543
0.485,0.057,0.543
0.485,0.057,0.543
0.485,0.057,0.543
0.651,0.067,0.718
0.651,0.067,0.718
0.46,0.058,0.518
0.46,0.058,0.518
0.46,0.058,0.518
0.984,0.055,1.039
0.984,0.055,1.039
1.208,0.051,1.259
0.895,0.05,0.946
0.594,0.042,0.637
1.238,0.042,1.279
1.238,0.042,1.279
1.238,0.042,1.279
0.595,0.045,0.64
0.335,0.041,0.376
0.265,0.049,0.314
0.265,0.049,0.314
0.265,0.049,0.314
0.485,0.064,0.548
0.485,0.064,0.548
0.485,0.064,0.548
0.437,0.064,0.501
0.437,0.064,0.501
0.485,0.064,0.549
0.417,0.031,0.448
0.401,0.048,0.449
0.401,0.048,0.449
0.532,0.071,0.603
0.532,0.071,0.603
0.322,0.056,0.378
0.322,0.056,0.378
0.322,0.056,0.378
0.299,0.078,0.377
0.13,0.08,0.21
0.373,0.073,0.446
0.073,0.045,0.118
0.788,0.05,0.837
0.47,0.055,0.525
0.47,0.055,0.525
0.47,0.055,0.525
0.47,0.055,0.525
0.408,0.044,0.452
0.408,0.044,0.452
0.22,0.089,0.308
0.125,0.096,0.22
0.186,0.078,0.263
0.186,0.078,0.263
0.186,0.078,0.263
0.055,0.091,0.145
0.055,0.091,0.145
0.055,0.091,0.145
0.055,0.091,0.145
0.055,0.091,0.145
0.055,0.091,0.145
0.055,0.091,0.145
0.168,0.089,0.256
0.168,0.089,0.256
0.168,0.089,0.256
0.168,0.089,0.256
0.226,0.048,0.274
0.226,0.048,0.274
0.188,0.03,0.218
0.188,0.03,0.218
0.188,0.03,0.218
0.188,0.03,0.218
0.188,0.03,0.218
0.143,0.044,0.187
0.143,0.044,0.187
0.143,0.044,0.187
0.154,0.046,0.2
0.154,0.046,0.2
0.154,0.046,0.2
0.154,0.046,0.2
0.891,0.066,0.957
0.667,0.07,0.737
0.667,0.07,0.737
0.742,0.061,0.803
0.453,0.037,0.49
0.453,0.037,0.49
0.453,0.037,0.49
0.467,0.055,0.522
0.371,0.046,0.418
0.312,0.1,0.411
0.403,0.06,0.463
0.295,0.052,0.347
0.295,0.052,0.347
0.295,0.052,0.347
0.25,0.035,0.286
0.788,0.071,0.859
1.277,0.042,1.318
0.873,0.043,0.916
0.772,0.076,0.848
0.772,0.076,0.848
1.164,0.033,1.197
1.361,0.089,1.45
1.312,0.07,1.382
1.046,0.071,1.117
1.477,0.033,1.51
1.477,0.033,1.51
1.477,0.033,1.51
1.043,0.034,1.076
1.111,0.025,1.136
1.111,0.025,1.136
2.029,0.086,2.115
2.029,0.086,2.115
2.029,0.086,2.115
0.493,0.054,0.547
0.212,0.049,0.26
0.058,0.049,0.107
0.101,0.042,0.143
0.046,0.039,0.085
0.426,0.043,0.469
0.679,0.035,0.714
0.353,0.052,0.405
0.353,0.052,0.405
0.353,0.052,0.405
0.116,0.083,0.199
0.749,0.035,0.784
0.517,0.051,0.567
0.517,0.051,0.567
0.517,0.051,0.567
0.517,0.051,0.567
0.577,0.031,0.608
0.577,0.031,0.608
0.577,0.031,0.608
0.399,0.035,0.434
0.399,0.035,0.434
0.472,0.025,0.497
0.308,0.039,0.347
0.343,0.056,0.399
0.745,0.038,0.783
0.36,0.043,0.403
0.36,0.043,0.403
0.354,0.077,0.43
0.354,0.077,0.43
0.291,0.043,0.335
0.428,0.043,0.471
0.428,0.043,0.471
0.309,0.089,0.398
0.309,0.089,0.398
0.414,0.076,0.49
0.414,0.076,0.49
0.414,0.076,0.49
